index,p0re,p0im,p1re,p1im
451,0.09428,0.57370,-0.46187,0.86803
452,0.10086,0.57139,-0.49036,0.90347
453,0.10847,0.56906,-0.51896,0.93648
454,0.11712,0.56690,-0.54776,0.96682
455,0.12674,0.56490,-0.57661,0.99451
456,0.13739,0.56322,-0.60545,1.01931
457,0.14892,0.56185,-0.63435,1.04120
458,0.16125,0.56094,-0.66320,1.05992
459,0.17438,0.56045,-0.69194,1.07552
460,0.18826,0.56051,-0.72057,1.08782
461,0.20272,0.56121,-0.74900,1.09684
462,0.21770,0.56254,-0.77708,1.10243
463,0.23309,0.56447,-0.80483,1.10470
464,0.24897,0.56712,-0.83215,1.10351
465,0.26488,0.57066,-0.85898,1.09892
466,0.28099,0.57499,-0.88546,1.09100
467,0.29698,0.58020,-0.91135,1.07966
468,0.31277,0.58620,-0.93669,1.06489
469,0.32821,0.59317,-0.96145,1.04690
470,0.34325,0.60104,-0.98557,1.02566
471,0.35759,0.60987,-1.00899,1.00124
472,0.37113,0.61974,-1.03171,0.97373
473,0.38379,0.63052,-1.05365,0.94324
474,0.39547,0.64229,-1.07490,0.90982
475,0.40596,0.65492,-1.09534,0.87361
476,0.41517,0.66852,-1.11505,0.83472
477,0.42294,0.68314,-1.13383,0.79319
478,0.42914,0.69864,-1.15197,0.74922
479,0.43365,0.71509,-1.16925,0.70290
480,0.43645,0.73229,-1.18580,0.65438
481,0.43734,0.75033,-1.20143,0.60384
482,0.43643,0.76920,-1.21632,0.55136
483,0.43344,0.78872,-1.23035,0.49708
484,0.42839,0.80898,-1.24367,0.44123
485,0.42117,0.82981,-1.25626,0.38385
486,0.41180,0.85110,-1.26797,0.32518
487,0.40026,0.87285,-1.27894,0.26536
488,0.38654,0.89489,-1.28907,0.20451
489,0.37066,0.91715,-1.29850,0.14279
490,0.35252,0.93960,-1.30727,0.08026
491,0.33225,0.96214,-1.31527,0.01719
492,0.30989,0.98465,-1.32246,-0.04626
493,0.28537,1.00700,-1.32900,-0.10995
494,0.25877,1.02904,-1.33491,-0.17364
495,0.23014,1.05069,-1.34005,-0.23737
496,0.19963,1.07177,-1.34447,-0.30074
497,0.16723,1.09239,-1.34825,-0.36373
498,0.13312,1.11218,-1.35130,-0.42621
499,0.09730,1.13105,-1.35360,-0.48804
500,0.05985,1.14903,-1.35535,-0.54902
501,0.02095,1.16589,-1.35631,-0.60896
502,-0.01934,1.18166,-1.35669,-0.66779
503,-0.06080,1.19599,-1.35641,-0.72537
504,-0.10347,1.20897,-1.35541,-0.78155
505,-0.14707,1.22042,-1.35375,-0.83606
506,-0.19159,1.23035,-1.35136,-0.88890
507,-0.23686,1.23863,-1.34837,-0.94012
508,-0.28268,1.24532,-1.34472,-0.98933
509,-0.32896,1.25021,-1.34036,-1.03654
